Milliseconds,X,Y,Z
1602,-9.9704895,1.7353973,7.341217
1612,-8.467804,2.0703888,6.3075104
1623,-7.276169,1.9220276,5.446106
1632,-7.017746,1.4530487,5.130249
1642,-7.2139587,0.82373047,4.9603577
1653,-7.682953,0.22792053,4.9029236
1662,-8.32901,-0.2913208,4.8455048
1672,-9.051651,-0.73638916,4.878998
1682,-9.709671,-1.1144562,5.003433
1692,-10.27916,-1.4685974,5.2666473
1702,-11.018555,-1.8777618,5.6040344
1712,-11.456436,-2.100296,5.773926
1722,-11.985245,-2.3730774,5.7906647
1732,-12.272385,-2.5334015,5.635132
1742,-12.260422,-2.5118713,5.4365234
1752,-12.045074,-2.416153,5.2714233
1762,-11.84407,-2.3563385,5.1565704
1772,-11.779465,-2.2989044,5.044113
1783,-11.836899,-2.284546,5.0345306
1792,-12.066605,-2.346756,4.9962463
1802,-12.382462,-2.48555,4.8885803
1812,-12.710281,-2.6291199,4.7497864
1822,-13.085953,-2.7846527,4.546402
1832,-13.346771,-2.9066772,4.328659
1842,-13.416153,-2.988037,4.118088
1852,-13.468796,-2.9641113,3.9290466
1863,-13.574081,-2.9282227,3.8548737
1872,-13.6698,-2.89711,3.9075165
1882,-13.844467,-2.8947144,3.9027252
1892,-13.961716,-2.9856415,4.0391235
1902,-14,-3.0095673,4.1707306
1912,-13.909073,-2.925827,4.242508
1922,-13.715256,-2.85643,4.280792
1932,-13.495117,-2.71286,4.455475
1942,-13.430511,-2.617157,4.5535736
1953,-13.370697,-2.5716858,4.694748
1962,-13.44487,-2.5836487,4.7497864
1972,-13.504684,-2.593216,4.9196777
1982,-13.698502,-2.5645142,5.118286
1992,-13.8085785,-2.5094757,5.2427063
2002,-13.863617,-2.5549316,5.2762146
2012,-14.011963,-2.6674042,5.3455963
2022,-14.509674,-3.0191498,5.5059204
2033,-15.136597,-3.4785614,5.778702
2042,-15.873581,-3.973877,6.0802
2052,-16.21576,-4.330414,6.214203
2062,-15.696518,-4.368698,6.0802
2072,-14.069397,-3.9595184,5.869629
2082,-11.8033905,-3.332611,5.754776
2092,-9.762314,-2.6602173,5.7284546
2102,-7.9533386,-2.0931244,5.6877747
2113,-7.1230316,-1.9998016,5.6997375
2122,-6.548752,-2.2462616,5.733246
2132,-6.043869,-2.5692902,5.7236633
2142,-5.718445,-2.822937,5.632736
2152,-5.409775,-2.9521484,5.537033
2162,-5.335602,-3.0502472,5.6159973
2172,-5.6179504,-3.2153625,5.7571716
2182,-6.0989075,-3.39003,5.828949
2193,-6.737793,-3.6340942,5.7619476
2202,-7.5250244,-3.8518524,5.644699
2212,-8.132797,-3.9092712,5.295349
2222,-8.367294,-3.7824554,4.771332
2232,-8.455841,-3.3972168,4.0630493
2242,-8.45105,-2.930603,3.3930664
2252,-8.458221,-2.4999084,2.7158966
2262,-8.582657,-2.4113617,2.2062225
2272,-8.795624,-2.5094757,1.7300415
2283,-8.941574,-2.8037872,1.1868744
2292,-8.9655,-3.160324,0.50730896
2302,-8.714264,-3.3948212,-0.09806824
2312,-8.427124,-3.4618225,-0.6053467
2322,-8.051453,-3.4235382,-0.98101807
2333,-7.6805573,-3.3278198,-1.2561951
2342,-7.3934174,-3.1651,-1.4787292
2352,-7.3000946,-3.074173,-1.8950806
2362,-7.414963,-3.1052856,-2.2492218
2372,-7.556137,-3.2033844,-2.5435333
2383,-7.8384857,-3.1986084,-2.8187103
2392,-8.259628,-3.1531372,-3.072342
2402,-8.699905,-3.14357,-3.3379517
2412,-9.135391,-3.0717926,-3.5102386
2422,-9.398605,-3.0430756,-3.5461273
2432,-10.207382,-3.160324,-3.6322632
2443,-10.535202,-3.2512512,-3.548523
2453,-11.162125,-3.3469543,-3.3953857
2462,-11.521042,-3.538391,-3.3786316
2472,-11.592819,-3.7920227,-3.4528046
2484,-11.477966,-3.9164581,-3.4575958
2492,-11.255432,-3.8518524,-3.5580902
2502,-11.016159,-3.7585297,-3.68013
2512,-10.827118,-3.6484528,-3.7495117
2522,-10.678772,-3.5527496,-3.5748444
2533,-10.714661,-3.3708954,-3.3403473
2542,-10.886948,-3.28714,-3.1513062
2552,-11.114258,-3.3517456,-3.0579834
2562,-11.355942,-3.5001068,-3.072342
2572,-11.571289,-3.6364899,-2.9598846
2583,-11.805786,-3.8614197,-2.8761292
2592,-12.035492,-4.0671997,-2.9024506
2602,-12.107285,-4.2921295,-2.8761292
2613,-12.358536,-4.5194397,-2.6464233
2622,-12.736603,-4.615158,-2.340149
2632,-13.21756,-4.7658997,-2.0075378
2642,-13.720047,-4.947754,-1.6127319
2653,-14.210571,-5.1032867,-1.124588
2662,-14.71785,-5.189438,-0.6962738
2672,-15.143768,-5.182251,-0.20814514
2683,-15.239487,-5.1463623,0.08378601
2692,-15.182053,-4.890335,0.54081726
2702,-14.909271,-4.5960083,0.8303528
2712,-14.519241,-4.2729797,1.0744171
2722,-14.098114,-3.9547424,1.2682343
2733,-13.662613,-3.6293182,1.4309387
2742,-13.105087,-3.160324,1.6726227
2752,-12.674377,-2.696106,1.8592529
2762,-12.322632,-2.203186,1.9645386
2772,-12.02832,-1.7413788,1.9788971
2782,-11.858429,-1.3513489,1.986084
2793,-11.860825,-1.0905304,1.9118958
2802,-12.159927,-1.0067749,1.8233643
2812,-12.571487,-1.064209,1.88797
2822,-12.906479,-1.2101746,2.088974
2833,-13.162521,-1.2915192,2.368927
2842,-13.550156,-1.4327087,2.7661438
2852,-13.784653,-1.5020905,3.108307
2862,-13.887543,-1.5308075,3.3954468
2872,-13.913864,-1.4925232,3.5868835
2882,-13.810974,-1.4327087,3.6610565
2893,-13.653046,-1.3776703,3.6490936
2902,-13.54776,-1.3561401,3.6395264
2912,-13.540588,-1.3992004,3.7232666
2923,-13.60997,-1.4996948,3.7759094
2932,-13.540588,-1.8514404,3.955368
2943,-13.327621,-2.0500488,4.058258
2952,-12.987839,-2.3611145,4.0606537
2962,-12.468597,-2.6291199,4.1874695
2972,-11.796219,-2.576477,4.488968
2983,-11.394226,-2.4951172,4.5846863
2992,-10.932404,-2.58844,4.460251
3002,-10.819946,-2.6745758,4.328659
3012,-10.791229,-3.0646057,4.0151978
3022,-11.028122,-3.3110657,3.823761
3033,-11.308075,-3.5168457,3.680191
3042,-11.353546,-3.7369843,3.4959564
3052,-11.372681,-3.8829498,3.326065
3062,-11.399002,-4.0695953,3.0748138
3072,-11.253052,-4.311264,2.959961
3083,-11.281754,-4.359131,2.8427124
3092,-11.310471,-4.409378,2.7254639
3102,-11.396622,-4.507477,2.6297455
3112,-11.6957245,-4.6247253,2.6082153
3122,-12.035492,-4.8305054,2.5244598
3133,-12.45903,-5.0937195,2.3593597
3142,-12.971085,-5.309082,2.2875824
3152,-13.296509,-5.560318,2.2469025
3162,-13.471191,-5.7684937,2.151184
3172,-13.365906,-5.9240265,2.1320496
3183,-12.794022,-6.000595,1.8807983
3192,-12.875381,-6.3930206,1.7826843
3202,-12.724625,-6.254242,2.4287567
3212,-12.162323,-6.1082764,2.6632538
3223,-11.683746,-6.409775,2.0722198
3232,-11.437286,-6.4456635,2.2469025
3242,-10.953949,-6.270996,2.4072113
3252,-10.748154,-6.1202393,2.3019257
3262,-10.602203,-6.0843506,2.203827
3272,-10.571091,-6.160919,2.2109985
3283,-10.513657,-6.1944275,2.0243683
3292,-10.413162,-6.0963135,1.7826843
3302,-10.224136,-6.0053864,1.5984497
3312,-9.759918,-5.7134705,1.43573
3322,-9.245468,-5.2779694,1.2275543
3332,-8.625732,-4.7443695,0.9954529
3343,-7.9413757,-4.167694,0.77531433
3352,-7.3120728,-3.6484528,0.6006317
3362,-6.8717804,-3.2249298,0.41877747
3372,-6.594223,-2.971283,0.14360046
3382,-6.381256,-2.9569244,-0.12438965
3393,-6.237686,-2.9808655,-0.51441956
3402,-6.3046875,-2.93779,-0.8254852
3412,-6.388443,-2.782257,-1.2059479
3422,-6.6013947,-2.432907,-1.3854065
3432,-6.9076843,-2.0811615,-1.5696564
3442,-7.120636,-1.74617,-1.8089447
3452,-7.345566,-1.470993,-2.0099335
3462,-7.517853,-1.097702,-2.3257904
3473,-7.54895,-0.7914276,-2.505249
3482,-7.453247,-0.542572,-2.5602875
3492,-7.0823517,-0.164505,-2.5267792
3502,-6.627716,0.25424194,-2.304245
3512,-6.2544403,0.78305054,-1.8878937
3523,-6.0007935,1.359726,-1.3112335
3532,-5.9026947,1.8574219,-0.7967682
3542,-6.031906,2.3240356,-0.26078796
3552,-6.1850433,2.6374817,0.10771179
3562,-6.5918274,2.7643127,0.4977417
3573,-6.697113,3.0131683,0.23692322
3582,-6.7234344,3.3720856,-0.26556396
3592,-7.120636,4.032501,0.023971558
3602,-7.4006042,4.4680023,0.5623474
3612,-7.7667084,4.932205,0.89256287
3623,-8.252441,5.7074738,1.1414185
3632,-8.812363,6.537796,1.3113098
3642,-9.472778,7.4518433,0.5479889
3652,-9.661819,7.9208374,-1.2394409
3662,-9.680954,7.7485504,-3.031662
3672,-9.977676,7.289139,-4.1802216
3682,-9.958527,7.0450745,-4.5487213
3693,-9.869995,6.9852448,-4.48172
3702,-9.855637,7.00679,-4.0246887
3712,-10.5950165,6.9876404,-2.8522034
3722,-11.439682,6.611969,-1.9644775
3732,-11.88475,6.1381836,-1.1748352
3743,-12.202988,5.415558,0.24649048
3752,-12.088135,5.116455,1.1629486
3763,-11.872787,4.927414,1.7659454
3772,-11.487549,4.5110626,1.3567657
3782,-11.664612,3.6855469,1.0959473
3792,-12.004395,3.008377,0.5862732
3802,-12.442276,2.560913,-0.294281
3815,-12.660019,1.9962158,-1.576828
3822,-12.846664,1.5798645,-2.2276764
3832,-13.303696,1.0295105,-3.1058502
3843,-14.177078,0.23031616,-4.23526
3852,-14.648453,-0.3894348,-4.766464
3862,-15.284958,-1.3992004,-5.42688
3872,-15.598404,-2.2295074,-5.718811
3882,-15.749161,-3.057434,-5.6183167
3892,-15.605591,-3.6340942,-5.003357
3902,-15.0169525,-3.7058868,-3.9864044
3912,-14.12204,-3.3589325,-2.9431305
3923,-12.64566,-2.50708,-1.8735504
3932,-11.774673,-1.9519501,-1.3231964
3942,-11.006592,-1.372879,-0.7273865
3952,-10.944366,-1.3058777,-0.28471375
3962,-11.262619,-1.825119,-0.32539368
3972,-11.63829,-2.5238342,-0.66278076
3983,-11.908676,-3.114853,-0.9259796
3992,-11.930222,-3.5455627,-1.0647736
4005,-11.623932,-3.6412811,-1.1078339
4012,-11.004196,-3.3924255,-0.9068451
4022,-10.504089,-3.0765686,-0.6077423
4032,-10.008774,-2.8109741,-0.32299805
4042,-9.5876465,-2.6315002,-0.16746521
4052,-9.21196,-2.4879303,-0.08131409
4063,-8.857834,-2.3395844,-0.071746826
4072,-8.443878,-2.227127,-0.24163818
4083,-7.9940186,-2.2582245,-0.44981384
4092,-7.412567,-2.0859375,-0.5957794
4102,-6.8598175,-1.7844543,-0.7537079
4112,-6.3621216,-1.3489532,-0.8709564
4122,-5.9385834,-0.9804535,-0.97384644
4132,-5.282959,-0.5282135,-1.0695496
4143,-4.6081696,-0.04725647,-1.0432281
4152,-4.1511536,0.2757721,-0.97624207
4162,-4.0003967,0.28056335,-0.9092407
4172,-4.0243225,0.07476807,-1.0384521
4182,-4.3114624,-0.09750366,-1.3519135
4192,-4.725418,-0.25543213,-1.9046478
4202,-5.4576263,-0.44685364,-2.5890045
4212,-6.5009003,-0.84646606,-3.2829132
4223,-7.3168488,-1.4015961,-3.8954773
4232,-7.852844,-1.8586273,-4.201767
4242,-8.03949,-2.0356903,-4.1586914
4252,-7.9533386,-1.9160461,-3.9098358
4263,-7.864807,-1.6791687,-3.3331604
4272,-7.8863373,-1.6576233,-2.9670563
4282,-8.417557,-2.026123,-1.7467194
4292,-9.214355,-2.4089813,-1.0264893
4302,-10.260025,-2.8181458,-0.4091339
4313,-11.384644,-3.2584229,0.18907166
4322,-12.6026,-3.6604156,0.83273315
4332,-13.60997,-3.9762726,1.3974457
4342,-14.500107,-4.0169525,2.1081085
4352,-14.835098,-3.8398895,2.651291
4362,-14.823135,-3.45224,3.079605
4372,-14.815964,-3.0143585,3.3930664
4386,-14.863815,-2.6482544,3.440918
4393,-14.823135,-2.44487,3.1896667
4402,-14.672394,-2.5046844,2.7733154
4412,-14.167496,-2.6195374,2.2684326
4422,-13.34198,-2.7056885,1.7324371
4432,-12.511673,-3,1.0672302
4443,-12.291534,-3.5192413,0.7274475
4452,-12.415955,-4.2394867,0.3972473
4462,-12.671982,-4.8592224,-0.15788269
4472,-12.669601,-4.9788666,-0.7680664
4483,-12.243668,-4.643875,-1.3136292
4492,-11.530609,-3.7465668,-1.7610779
4502,-11.016159,-2.863617,-2.057785
4513,-10.544769,-2.2486572,-2.287506
4522,-10.468201,-2.0069733,-2.3664703
4532,-10.496918,-1.6049805,-2.4813232
4542,-10.628525,-1.5403748,-2.4262848
4553,-10.786438,-1.6026001,-2.2827148
4562,-10.846268,-1.5930176,-2.0745392
4572,-10.748154,-1.4829559,-1.7539062
4582,-10.461014,-1.200592,-1.2705536
4592,-10.171494,-0.94696045,-0.90444946
4602,-9.802994,-0.79859924,-0.569458
4612,-9.515854,-0.6311035,-0.3708496
4623,-9.159332,-0.6000061,-0.34213257
4632,-8.82193,-0.54496765,-0.44024658
4642,-8.38884,-0.47317505,-0.5550995
4652,-7.89592,-0.35832214,-0.62927246
4662,-7.2498474,-0.11665344,-0.80155945
4672,-6.7976074,0.050842285,-0.93556213
4683,-6.405182,0.18963623,-1.0528107
4692,-6.08934,0.24945068,-1.1078339
4702,-5.9457703,0.25901794,-1.1604767
4712,-5.998413,0.13459778,-1.1389465
4723,-6.137192,-0.11186218,-1.095871
4732,-6.311859,-0.26261902,-1.0145264
4742,-6.646866,-0.56889343,-0.81352234
4752,-7.0201416,-0.83210754,-0.6077423
4762,-7.4556274,-1.1312103,-0.42349243
4772,-7.8121643,-1.442276,-0.2296753
4783,-8.173477,-1.7150574,-0.054992676
4792,-8.49173,-1.9280243,0.06463623
4802,-8.61615,-2.0883331,0.13642883
4812,-8.723831,-2.2247314,0.15556335
4822,-8.941574,-2.2701874,0.12446594
4832,-9.195221,-2.330017,-0.038253784
4842,-9.23111,-2.3443756,-0.24403381
4853,-9.180862,-2.2893372,-0.44981384
4862,-9.164108,-2.107483,-0.65319824
4873,-9.12822,-1.9040833,-0.8374481
4883,-9.0707855,-1.6767731,-1.050415
4892,-8.996613,-1.5140533,-1.1413422
