Milliseconds,X,Y,Z
1601,2.7688904,6.9062805,6.3864746
1611,2.2257233,7.042679,6.4510803
1622,1.8069763,7.0570374,6.317093
1631,1.6083832,7.0666046,6.317093
1641,1.5485535,7.1192474,6.6209717
1651,1.3379822,7.1072845,6.687973
1661,1.1202393,7.018753,6.412796
1671,0.9072876,6.970886,6.6138
1682,0.79241943,7.693527,7.2574615
1691,0.5459595,6.736389,7.874817
1701,0.47657776,6.5569305,8.138031
1711,0.4598236,6.7507477,8.382095
1721,0.47895813,6.942169,8.511307
1731,0.51246643,6.973282,8.427551
1742,0.31625366,6.8225403,8.374924
1751,0.12243652,6.7339935,8.451492
1761,0.15592957,6.7100677,8.908524
1771,0.42871094,6.554535,9.097549
1781,0.8546448,6.600006,9.01619
1791,0.9742737,6.760315,8.858261
1802,0.8881378,6.908676,8.5065155
1811,0.8761749,7.0594177,8.272018
1821,0.8163605,7.088135,8.200241
1831,0.75413513,6.8967133,7.9585724
1841,0.61535645,6.920639,7.8461
1852,0.46939087,7.1000977,8.001633
1861,0.47895813,7.214966,8.145203
1871,0.66799927,7.2436676,8.262451
1881,0.9072876,7.2029877,8.516098
1891,1.1824493,7.018753,8.580704
1901,1.4456635,6.915863,8.583099
1912,1.4911346,6.808182,8.322281
1921,1.5605164,6.7339935,8.099747
1931,1.6993103,6.7339935,7.649887
1941,1.6466675,6.839279,7.3172913
1951,1.5581207,6.9015045,7.0684357
1961,1.6107635,6.834503,6.8865814
1971,1.6514435,6.6191406,6.884186
1981,1.5677032,6.360718,7.422577
1992,1.5700989,6.073578,7.834137
2001,1.7423706,5.7481537,7.9920654
2011,1.871582,5.563904,8.3797
2021,1.9314117,5.528015,8.48259
2031,1.9314117,5.5615234,8.417984
2041,1.8859406,5.587845,8.238525
2052,1.7998047,5.690735,8.05188
2061,1.6873474,5.7912292,7.915497
2072,1.5605164,5.865402,7.9226685
2081,1.4504547,5.8989105,7.855667
2091,1.1920319,6.0137634,7.8269653
2101,0.94317627,6.114258,7.817383
2111,0.58903503,6.0998993,7.7862854
2122,0.30429077,6.044861,7.55896
2131,0.4981079,6.171692,7.977707
2141,0.05064392,5.7481537,8.159561
2152,0.007583618,5.5830536,8.2265625
2161,0.27078247,5.6285095,8.166748
2171,0.33538818,5.5375824,7.9705353
2181,0.43589783,5.5136566,7.8365326
2191,0.555542,5.654831,7.657074
2202,0.59143066,5.7768707,7.563751
2211,0.70628357,5.7266235,7.5685425
2222,0.7134552,5.6285095,7.6762085
2231,0.7828522,5.5040894,7.6881714
2241,0.89053345,5.3988037,7.7216797
2251,0.90966797,5.3150635,7.6881714
2261,0.9982147,5.1954193,7.9753113
2272,0.80677795,5.3318024,7.8245697
2281,0.79481506,5.341385,8.094955
2291,0.79003906,5.3150635,8.362946
2301,0.82832336,5.1260223,8.547195
2311,0.8881378,4.9656982,8.690765
2322,0.9766693,4.8460693,8.752975
2331,1.0269165,4.7407837,8.640518
2341,1.110672,4.783844,8.635727
2351,1.1944122,4.8341064,8.540024
2361,1.3308105,4.7479553,8.410812
2371,1.3499451,4.893921,8.944412
2381,1.2901306,5.1140594,9.01619
2392,1.1824493,5.1523438,9.1597595
2401,1.0628204,5.1140594,9.277008
2411,0.8809662,5.185852,9.394257
2421,0.81396484,5.2337036,9.238724
2431,0.8115692,5.2671967,9.061661
2441,0.81874084,5.3605194,8.896545
2452,0.84506226,5.487335,8.7816925
2461,0.8809662,5.6189423,8.68837
2471,0.93359375,5.659622,8.556778
2481,1.0341034,5.7170563,8.525665
2491,1.1345978,5.740982,8.465851
2501,1.254242,5.7026978,8.389267
2512,1.2757721,5.6285095,8.243317
2521,1.2853394,5.6476593,8.19545
2531,1.3332062,5.6117706,8.243317
2541,1.3523407,5.465805,8.382095
2551,1.2925262,5.3677063,8.453873
2561,1.1944122,5.2791595,8.453873
2572,1.1417694,5.185852,8.42038
2581,1.1082764,5.2408752,8.3797
2591,1.0747833,5.288742,8.312698
2601,0.9958191,5.252838,8.221771
2611,0.92881775,5.264801,8.171524
2621,0.8881378,5.250458,8.228958
2632,0.90489197,5.2456665,8.25528
2641,0.9479523,5.185852,8.31749
2651,0.9144592,5.169098,8.31749
2661,0.9838562,5.157135,8.35817
2671,1.0723877,5.1667023,8.346207
2682,1.144165,5.1308136,8.341415
2691,1.1465607,5.202591,8.350983
2701,1.0843506,5.1595306,8.391663
2711,1.0269165,4.9872437,8.394058
2721,1.2207336,5.1188507,8.286377
2731,1.2374878,5.0973053,8.365341
2741,1.2159576,5.070984,8.281601
2752,1.2087708,5.161911,8.207413
2761,1.2039948,5.2408752,8.197845
2771,1.1417694,5.2408752,8.164352
2781,1.1369934,5.2671967,8.116486
2791,1.0915222,5.2743835,8.193069
2801,1.0484619,5.243271,8.252884
2811,0.9359894,5.1667023,8.4036255
2822,0.8426666,5.140381,8.611801
2831,0.75413513,5.0805664,8.800842
2841,0.77568054,5.037491,8.922867
2851,0.8091736,5.0326996,8.985092
2861,0.84506226,4.963318,8.982697
2871,0.8809662,4.9824524,8.834335
2881,0.92163086,5.030304,8.659668
2892,0.9766693,5.1140594,8.5448
2901,0.9862366,5.1547394,8.458664
2911,1.0053864,5.1762695,8.279205
2921,1.0005951,5.173874,8.161957
2931,0.95513916,5.255234,8.140427
2941,0.9359894,5.310272,8.243317
2952,0.8474579,5.2576294,8.336624
2961,0.7996063,5.2624207,8.355774
2971,0.78045654,5.2360992,8.386887
2981,0.7828522,5.214554,8.377304
2991,0.85702515,5.2001953,8.3294525
3001,0.9240265,5.190628,8.25528
3011,0.9982147,5.133209,8.161957
3022,1.0795593,5.140381,8.073425
3031,1.0891418,5.1427765,8.018387
3041,1.0652008,5.121231,7.994461
3051,1.0293121,5.1355896,8.015991
3061,1.0101776,5.133209,8.03035
3071,0.9718933,5.1260223,8.066238
3082,0.9694977,5.109268,8.090164
3091,0.9623108,5.1475525,8.161957
3101,0.9264221,5.1236267,8.197845
3111,0.9264221,5.0853424,8.2146
3121,0.89053345,5.106888,8.274414
3131,0.8163605,5.0853424,8.355774
3141,0.79241943,5.059021,8.437134
3152,0.7732849,5.059021,8.530457
3161,0.7828522,5.042282,8.571121
3171,0.85702515,5.0853424,8.669235
3181,0.94078064,5.0159607,8.654877
3191,1.0173492,5.006378,8.616592
3201,1.0795593,5.018341,8.595062
3211,1.0628204,4.9872437,8.575912
3222,1.0508423,5.025528,8.62616
3231,0.9623108,5.042282,8.599838
3241,0.9192505,5.0494537,8.547195
3251,0.85702515,5.0901337,8.511307
3261,0.8211365,5.1595306,8.535233
3271,0.8426666,5.1475525,8.470627
3281,0.88334656,5.1355896,8.446701
3293,0.96710205,5.157135,8.451492
3301,1.0532379,5.161911,8.458664
3312,1.0699921,5.1475525,8.3988495
3321,1.1250305,5.137985,8.348602
3331,1.1680908,5.1523438,8.23613
3341,1.1968079,5.1427765,8.161957
3352,1.1776733,5.1020966,8.149994
3361,1.1657104,5.078171,8.200241
3371,1.1178436,4.975281,8.250488
3381,1.0915222,4.9656982,8.374924
3391,1.0675964,4.9082794,8.437134
3401,1.0556335,4.8173523,8.575912
3411,1.1537476,4.7647095,8.676407
3422,1.3092804,4.6450653,8.726654
3431,1.3762665,4.532608,8.633347
3441,1.3547363,4.4990997,8.362946
3451,1.2686005,4.5756683,7.88678
3461,1.1250305,4.5397797,7.3340454
3471,0.8378906,4.5972137,6.707123
3481,0.2564392,5.013565,6.5539856
3492,-0.18623352,5.1140594,6.400833
3501,-0.25323486,4.9417725,5.95578
3511,-0.6911316,5.6644135,5.721283
3521,-0.9136505,5.913269,5.7810974
3531,-1.0500488,5.930008,5.632736
3541,-1.4640045,5.786438,5.704529
3552,-0.9136505,6.176468,5.486786
3561,-0.8586273,6.3966064,5.051285
3571,-0.7030945,6.131012,4.730652
3581,-0.86579895,5.980255,4.6923676
3591,-1.2749786,5.872589,4.6014404
3602,-1.9928284,6.020935,4.4746094
