Milliseconds,X,Y,Z
1571,-1.3515472,5.8127594,7.8580627
1581,-1.3826447,5.8462677,7.7958527
1591,-1.3515472,5.941971,7.7623596
1601,-1.34198,5.9922333,7.7168884
1612,-1.3491516,6.008972,7.6929626
1621,-1.3347931,5.968292,7.7049255
1631,-1.3252258,5.913269,7.712097
1641,-1.2893372,5.860626,7.7384186
1651,-1.34198,5.860626,7.7743225
1661,-1.346756,5.822342,7.884384
1671,-1.3563232,5.872589,7.994461
1682,-1.3371887,5.9108734,7.999237
1691,-1.3084717,5.925232,7.994461
1701,-1.3108673,5.937195,7.937027
1711,-1.3539429,5.918045,7.8772125
1721,-1.346756,5.867798,7.8724213
1731,-1.34198,5.839081,7.903534
1742,-1.272583,5.805588,8.0112
1751,-1.2247314,5.7720795,8.056671
1761,-1.1481476,5.774475,8.09256
1771,-1.1194458,5.836685,8.097351
1781,-1.140976,5.8701935,8.090164
1791,-1.1457672,5.8582306,8.032745
1802,-1.1577301,5.8414764,7.9920654
1811,-1.1218262,5.798401,7.937027
1821,-1.1170502,5.762512,7.965744
1831,-1.0787659,5.745758,7.9633484
1841,-0.99980164,5.7385864,8.025558
1851,-0.9471588,5.736191,8.073425
1861,-0.9136505,5.7146606,8.114105
1872,-0.88734436,5.7026978,8.102127
1881,-0.91604614,5.700302,8.037521
1891,-0.9710846,5.6644135,7.98967
1901,-1.0165558,5.678772,7.9753113
1911,-1.0644073,5.690735,7.9394226
1921,-1.0739746,5.712265,7.9274597
1931,-1.066803,5.7050934,7.98967
1941,-1.066803,5.638092,8.00882
1952,-1.0787659,5.5782623,8.015991
1961,-1.0620117,5.559128,7.984894
1971,-1.0213318,5.530411,7.982498
1981,-0.9519501,5.528015,8.044708
1991,-0.8681946,5.5256195,8.149994
2001,-0.8753662,5.575882,8.219376
2012,-0.8969116,5.633301,8.209808
2021,-0.8801575,5.621338,8.135635
2031,-0.8514404,5.638092,8.099747
2041,-0.7820587,5.671585,8.087784
2051,-0.72462463,5.688339,8.032745
2061,-0.6719818,5.719452,8.059067
2071,-0.61694336,5.6979065,7.94899
2082,-0.6217346,5.8199463,8.073425
2091,-0.6265259,5.805588,8.135635
2101,-0.56430054,5.810379,8.104523
2111,-0.5427704,5.793625,8.082993
2122,-0.5379791,5.8295135,8.109314
2131,-0.57388306,5.8486633,8.149994
2141,-0.59780884,5.7912292,8.185883
2151,-0.60258484,5.7050934,8.238525
2161,-0.619339,5.678772,8.262451
2171,-0.6983032,5.6476593,8.216995
2181,-0.7533417,5.6572266,8.106918
2192,-0.7940216,5.6931305,7.98967
2201,-0.8323059,5.724228,7.88678
2211,-0.87776184,5.695511,7.8078156
2221,-0.93040466,5.683548,7.776718
2231,-0.9136505,5.6356964,7.7743225
2241,-0.894516,5.559128,7.879608
2251,-0.9351959,5.4729767,8.044708
2262,-0.9328003,5.403595,8.17392
2271,-0.9351959,5.3700867,8.248093
2281,-0.92323303,5.3940277,8.233734
2291,-0.9351959,5.484955,8.161957
2301,-0.894516,5.563904,7.9920654
2312,-0.8466644,5.6141663,7.9011383
2321,-0.85383606,5.671585,7.8652496
2331,-0.80119324,5.7385864,7.9226685
2341,-0.7437744,5.752945,7.994461
2351,-0.68634033,5.740982,8.09256
2361,-0.6911316,5.736191,8.171524
2371,-0.72462463,5.683548,8.248093
2382,-0.70547485,5.559128,8.382095
2391,-0.73898315,5.511261,8.432343
2401,-0.7294159,5.444275,8.434738
2411,-0.75094604,5.4299164,8.44191
2421,-0.7700958,5.403595,8.384491
2431,-0.7700958,5.4275208,8.396454
2441,-0.7533417,5.461014,8.319885
2451,-0.7485504,5.489731,8.272018
2461,-0.7724762,5.4801636,8.207413
2471,-0.80358887,5.4969177,8.157166
2481,-0.7987976,5.4969177,8.17392
2491,-0.6959076,5.456238,8.207413
2501,-0.73179626,5.523239,8.169128
2511,-0.65045166,5.5662994,8.216995
2521,-0.6576233,5.568695,8.324661
2531,-0.64805603,5.547165,8.391663
2541,-0.7078705,5.5662994,8.3797
2551,-0.68634033,5.6165466,8.291168
2562,-0.6600189,5.678772,8.190674
2571,-0.61694336,5.683548,8.104523
2581,-0.56669617,5.671585,8.090164
2591,-0.5714874,5.650055,8.126068
2602,-0.5882263,5.621338,8.190674
2611,-0.59780884,5.6141663,8.245697
2621,-0.5834503,5.587845,8.322281
2631,-0.57865906,5.580658,8.346207
2642,-0.54756165,5.5447693,8.293564
2651,-0.5690918,5.5830536,8.267242
2661,-0.58584595,5.5830536,8.212204
2671,-0.6265259,5.590225,8.185883
2681,-0.64086914,5.597412,8.149994
2692,-0.68873596,5.609375,8.09256
2701,-0.6648102,5.580658,8.11171
2711,-0.6791687,5.585449,8.159561
2721,-0.63609314,5.551941,8.202637
2731,-0.6911316,5.5328064,8.260056
2742,-0.6959076,5.535202,8.231354
2751,-0.68634033,5.528015,8.2146
2761,-0.62890625,5.494522,8.185883
2771,-0.61216736,5.487335,8.140427
2781,-0.59780884,5.5136566,8.102127
2791,-0.6145477,5.5256195,8.090164
2801,-0.6336975,5.4969177,8.130844
2812,-0.61216736,5.5375824,8.1236725
2821,-0.6265259,5.587845,8.075821
2831,-0.6313019,5.6165466,7.9920654
2841,-0.619339,5.666809,7.946594
2851,-0.6073761,5.678772,7.9633484
2861,-0.60020447,5.654831,7.9633484
2871,-0.6073761,5.638092,7.932251
2881,-0.6456604,5.6069794,7.953781
2892,-0.64805603,5.5782623,8.0112
2901,-0.6791687,5.499298,8.102127
2912,-0.6959076,5.4586334,8.135635
2921,-0.70547485,5.4179535,8.221771
2931,-0.6911316,5.4227295,8.245697
2941,-0.6719818,5.4753723,8.209808
2951,-0.60020447,5.539978,8.142807
2961,-0.5834503,5.5495605,8.164352
2972,-0.60258484,5.5375824,8.090164
2981,-0.5954132,5.547165,8.07103
2991,-0.62413025,5.5950165,8.023178
3001,-0.60258484,5.6237335,8.004028
3011,-0.5188446,5.6237335,8.001633
3021,-0.447052,5.6285095,8.027954
3032,-0.38963318,5.626129,8.085388
3041,-0.41355896,5.5662994,8.1236725
3051,-0.4925232,5.5423737,8.097351
3061,-0.50209045,5.551941,8.082993
3071,-0.52601624,5.5662994,7.987274
3081,-0.49012756,5.5782623,7.984894
3092,-0.45184326,5.5495605,7.9346313
3101,-0.45663452,5.530411,7.982498
3111,-0.4925232,5.489731,8.047104
3121,-0.50209045,5.4466553,8.116486
3131,-0.4972992,5.453842,8.185883
3141,-0.44467163,5.4466553,8.193069
3152,-0.447052,5.456238,8.169128
3161,-0.4303131,5.449051,8.140427
3171,-0.46380615,5.449051,8.085388
3181,-0.50209045,5.4514465,8.059067
3191,-0.51405334,5.4299164,8.073425
3201,-0.5044861,5.4394836,8.085388
3211,-0.5068817,5.4514465,8.114105
3222,-0.4925232,5.453842,8.142807
3231,-0.47576904,5.4705963,8.1284485
3241,-0.49012756,5.461014,8.099747
3251,-0.50209045,5.484955,8.07103
3261,-0.49969482,5.5040894,7.9681396
3271,-0.47816467,5.5256195,7.9178925
3281,-0.4590149,5.5662994,7.94899
3291,-0.42791748,5.575882,8.03035
3302,-0.4542389,5.539978,8.035141
3311,-0.44944763,5.5256195,8.047104
3321,-0.49969482,5.5160522,8.061462
3331,-0.52124023,5.465805,8.0542755
3341,-0.54756165,5.4682007,8.025558
3351,-0.5714874,5.4969177,8.0112
3361,-0.5810547,5.487335,8.023178
3372,-0.545166,5.4921265,7.999237
3381,-0.57865906,5.499298,8.006424
3391,-0.5954132,5.4586334,7.999237
3401,-0.60258484,5.4514465,8.004028
3411,-0.58584595,5.437088,8.03035
3421,-0.61694336,5.4346924,8.11171
3431,-0.5810547,5.432312,8.1236725
3442,-0.60258484,5.415558,8.145203
3451,-0.5954132,5.3820496,8.188278
3461,-0.61216736,5.341385,8.185883
3471,-0.61216736,5.2983093,8.114105
3481,-0.62890625,5.3078766,8.047104
3491,-0.64086914,5.3653107,7.9920654
3501,-0.6576233,5.355728,7.9274597
3511,-0.6336975,5.4227295,7.838928
3521,-0.5834503,5.477768,7.776718
3531,-0.49491882,5.489731,7.7743225
3541,-0.4685974,5.477768,7.8532867
3551,-0.4853363,5.453842,7.987274
3561,-0.52124023,5.4059906,8.042313
3571,-0.5882263,5.3820496,8.044708
3581,-0.5834503,5.391632,7.98967
3591,-0.5427704,5.432312,7.925064
3602,-0.48295593,5.484955,7.9298553
3611,-0.46620178,5.482559,7.941818
3621,-0.47576904,5.4753723,8.020782
3631,-0.49491882,5.444275,8.073425
3641,-0.5068817,5.2983093,8.193069
3651,-0.5188446,5.2791595,8.161957
3661,-0.5116577,5.353348,8.037521
3672,-0.49969482,5.4466553,7.8891754
3681,-0.4972992,5.5160522,7.771927
3691,-0.5068817,5.539978,7.707321
3701,-0.4972992,5.559128,7.690567
3711,-0.45663452,5.499298,7.697754
3721,-0.4925232,5.449051,7.862854
3732,-0.5044861,5.3772736,7.994461
3741,-0.5379791,5.293518,8.097351
3751,-0.57865906,5.207382,8.1284485
3761,-0.59780884,5.202591,8.090164
3771,-0.6265259,5.1930237,8.013596
3782,-0.62413025,5.255234,7.937027
3791,-0.6456604,5.283951,7.8724213
3801,-0.6432648,5.317444,7.7695312
3811,-0.63848877,5.3365936,7.709717
3821,-0.61694336,5.3389893,7.690567
3831,-0.5954132,5.310272,7.752777
3841,-0.60020447,5.3198395,7.7982483
3852,-0.5714874,5.305481,7.8652496
3861,-0.58584595,5.2863464,7.9394226
3871,-0.53559875,5.243271,7.999237
3881,-0.5571289,5.2456665,8.03035
3891,-0.5714874,5.2337036,8.068634
3901,-0.60020447,5.2983093,8.035141
3911,-0.59062195,5.3318024,8.004028
3922,-0.5930176,5.3389893,8.023178
3931,-0.5882263,5.3605194,7.98967
3941,-0.59780884,5.362915,7.946594
3951,-0.57865906,5.358124,7.965744
3961,-0.549942,5.317444,8.063843
3971,-0.516449,5.281555,8.176315
3981,-0.5044861,5.276779,8.286377
3992,-0.48295593,5.2576294,8.341415
4001,-0.5044861,5.2456665,8.31749
4011,-0.57865906,5.276779,8.233734
4021,-0.60498047,5.276779,8.075821
4031,-0.60258484,5.2791595,7.9801025
4041,-0.5690918,5.288742,7.8772125
4052,-0.5810547,5.2791595,7.874817
4061,-0.6145477,5.2265167,7.862854
4071,-0.6576233,5.2265167,7.90831
4081,-0.65522766,5.243271,7.9011383
4091,-0.60020447,5.3031006,7.8724213
4101,-0.56430054,5.374878,7.838928
4111,-0.52124023,5.3988037,7.8150024
4121,-0.50927734,5.3389893,7.88678
4132,-0.54037476,5.288742,8.0112
4141,-0.55952454,5.2289124,8.102127
4151,-0.6097717,5.1930237,8.183487
4161,-0.6313019,5.209778,8.13324
4171,-0.5954132,5.2695923,8.059067
4181,-0.5810547,5.346161,7.9394226
4191,-0.5427704,5.420334,7.8078156
